Path,ClientComputerName,ClientUserName
F:\Shares\BG_NA23_PROD_01\,10.123.88.84,UK\follettd
F:\Shares\BG_NA23_PROD_01\,10.17.228.33,UK\tha02112
F:\Shares\BG_NA23_PROD_01\,10.176.18.7,UK\araujoa1
F:\Shares\BG_NA23_PROD_01\,10.176.96.178,UK\cankd
F:\Shares\BG_NA23_PROD_01\,10.210.114.118,UK\s8117068
F:\Shares\BG_NA23_PROD_01\,10.210.114.97,UK\s8117068
F:\Shares\BG_NA23_PROD_01\,10.210.171.87,UK\pundira
F:\Shares\BG_NA23_PROD_01\,10.210.174.196,UK\masonc11
F:\Shares\BG_NA23_PROD_01\,10.210.175.120,UK\taylod30
F:\Shares\BG_NA23_PROD_01\,10.212.161.100,UK\gawadeg
F:\Shares\BG_NA23_PROD_01\,10.212.161.108,UK\kataria1
F:\Shares\BG_NA23_PROD_01\,10.212.161.125,UK\singhanp
F:\Shares\BG_NA23_PROD_01\,10.212.161.15,UK\mehtam2
F:\Shares\BG_NA23_PROD_01\,10.212.64.137,UK\guptah9
F:\Shares\BG_NA23_PROD_01\,10.212.97.111,UK\singa155
F:\Shares\BG_NA23_PROD_01\,10.212.97.47,UK\pawarh3
F:\Shares\BG_NA23_PROD_01\,10.212.97.58,UK\abrolr
F:\Shares\BG_NA23_PROD_01\,10.212.97.72,UK\guptah9
F:\Shares\BG_NA23_PROD_01\,10.212.97.88,UK\singa155
F:\Shares\BG_NA23_PROD_01\,10.64.194.151,UK\cankd
F:\Shares\BG_NA23_PROD_01\,10.64.194.151,UK\s8117219
F:\Shares\BG_NA23_PROD_01\,10.64.194.151,UK\s8406518
F:\Shares\BG_NA23_PROD_01\,10.64.194.153,UK\s0000v6
F:\Shares\BG_NA23_PROD_01\,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\,10.80.104.102,UK\linkem
F:\Shares\BG_NA23_PROD_01\,10.80.76.45,UK\masonc11
F:\Shares\BG_NA23_PROD_01\BG_FILE_ACHIVING,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_FILE_ACHIVING\CGI_LOGICA\IN,10.110.136.12,UK\ZZ_MFT_EFT
F:\Shares\BG_NA23_PROD_01\BG_FILE_ACHIVING\CGI_LOGICA\IN,10.110.136.21,UK\ZZ_MFT_EFT
F:\Shares\BG_NA23_PROD_01\BG_FILE_ACHIVING\CGI_LOGICA\IN\LCMG_BGAS_I003\LCMG_BGAS_I003_20191017163043780_COMPLETED_FAILED.XML,10.110.136.22,UK\ZZ_MFT_EFT
F:\Shares\BG_NA23_PROD_01\BG_FILE_ACHIVING\CGI_LOGICA\IN\LCMG_BGAS_I003_20191017163043780_COMPLETED_FAILED.XML,10.110.136.22,UK\ZZ_MFT_EFT
F:\Shares\BG_NA23_PROD_01\BG_FILE_ACHIVING\IPS\MI_EXTRACTS\IPS_MI_20191016173404,10.110.136.22,UK\ZZ_MFT_EFT
F:\Shares\BG_NA23_PROD_01\BG_FILE_ACHIVING\IPS\MI_EXTRACTS\IPS_MI_20191017060402,10.110.136.22,UK\ZZ_MFT_EFT
F:\Shares\BG_NA23_PROD_01\BG_FILE_ACHIVING\MARKETFLOW,10.212.161.108,UK\kataria1
F:\Shares\BG_NA23_PROD_01\BG_FILE_ACHIVING\MARKETFLOW\CURRENT B-SMART REPORTS.LNK,10.17.228.33,UK\tha02112
F:\Shares\BG_NA23_PROD_01\BG_FILE_ACHIVING\MARKETFLOW\CURRENT B-SMART REPORTS.LNK,10.212.161.108,UK\kataria1
F:\Shares\BG_NA23_PROD_01\BG_FILE_ACHIVING\MARKETFLOW\CURRENT B-SMART REPORTS.LNK,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_FILE_ACHIVING\MARKETFLOW\ELECTRICITY\BGB\IN\2019\07,10.212.161.125,UK\singhanp
F:\Shares\BG_NA23_PROD_01\BG_FILE_ACHIVING\MARKETFLOW\ELECTRICITY\BGB\IN\2019\08\D0275001,10.212.161.125,UK\singhanp
F:\Shares\BG_NA23_PROD_01\BG_FILE_ACHIVING\MARKETFLOW\ELECTRICITY\BGB\IN\2019\09,10.212.161.125,UK\singhanp
F:\Shares\BG_NA23_PROD_01\BG_FILE_ACHIVING\MARKETFLOW\ELECTRICITY\BGB\IN\2019\09\D0275001,10.212.161.125,UK\singhanp
