Path,ClientComputerName,ClientUserName
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.176.136.62,UK\s8117219
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\Solihul4_Common\dr_sap\Electricity_D300_Files_From_SAP,10.210.119.109,UK\danilins
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\Solihul4_Common\dr_sap,10.176.136.13,UK\s8003743
H:\Shares\BG_BGBPLINE_PROD_01\,10.109.6.20,UK\G_BGBP_prd
H:\Shares\BG_SSS_PROD_04\SICLOPS_DATA\SICLOPS DATA\GASFORCE\ORDERS,10.64.194.198,UK\docherj5
H:\Shares\BG_TAMIFTP_PROD_01\zz_Cardiff-user4\contracts\zz_SalesSupport_autocef\zz_Sales_Support_PhaseII,10.210.169.129,UK\felsteadd
G:\Shares\BG_MRKTFLOW_PROD_01\,10.212.97.72,UK\prakasg2
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\CGI_Logica\IN,10.110.136.12,UK\ZZ_MFT_EFT
H:\Shares\BG_BICHI_PROD_01\,10.65.160.100,UK\zz_sqlproxy-970
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\Metering\miscbill\database\incoming,10.17.242.40,UK\hutchesk
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\IPGT\SPA_Market_Crossers_ICON_Files\Out,10.176.80.134,UK\pwarner
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\MANUALFLOWS\GAS\BGR,10.123.88.84,UK\follettd
H:\Shares\BG_MeterEx_PROD_01\,10.110.136.21,UK\ZZ_MFT_EFT
H:\Shares\BG_TAMIFTP_PROD_01\ftp\Virtuatel,10.65.168.197,UK\PRV-ali00m64
H:\Shares\BG_NA23_PROD_02\MSoP\MSoPDatabase\BackUp,10.123.86.30,UK\taag2972
H:\Shares\BG_TAMIFTP_PROD_01\ftp,10.65.168.196,UK\PRV-ali00m64
G:\Shares\BG_MRKTFLOW_PROD_01\,10.19.84.65,UK\mharris2
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\GAS\OUT\2019\09\UMR,10.105.18.59,UK\dassuz
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\v_bgb_01\BG_File_Archiving2\Smart_Metering\Head_End_Admin\Psafe\head-end,10.176.21.73,UK\antonydv
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\Metering\miscbill\database\incoming\mdb-reps,10.105.18.82,UK\doshik
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\Solihul4_Common\dr_sap,10.110.136.22,UK\ZZ_MFT_EFT
H:\Shares\BG_MeterEx_PROD_01\G4S_FTP_Data\Out,10.19.84.41,UK\pwarner
H:\Shares\BG_SSS_PROD_04\Siclops_Data\Siclops Data\Gasforce\AutoGeneratedCP12_folder_3,10.105.8.61,UK\lathiam
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\GAS\IN\2019,10.123.86.16,UK\s8124489
H:\Shares\BG_BGBPLINE_PROD_01\STORETEXT,10.109.6.30,UK\zz_patrol_sdt2
H:\Shares\BG_NA23_PROD_02\,10.120.90.32,UK\s8405681
H:\Shares\BG_SSS_PROD_04\SICLOPS_DATA\SICLOPS DATA\GASFORCE\AUTOGENERATEDCP12_FOLDER_3,10.64.194.196,UK\maliag
H:\Shares\BG_SSS_PROD_04\PrintCentre\Prod\10-09-2019,10.64.194.202,UK\cortanag
H:\Shares\BG_SSS_PROD_04\Siclops_data\Siclops Data\Gasforce\AutoGeneratedCP12_folder_3,10.64.194.199,UK\yatesk14
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\ELECTRICITY,10.176.136.67,UK\s8404535
H:\Shares\BG_SSS_PROD_04\Siclops_data\Siclops Data\Gasforce\AutoGeneratedCP12_folder_3,10.64.194.203,UK\spencs25
H:\Shares\BG_SSS_PROD_04\Siclops_data\Siclops Data\Gasforce\AutoGeneratedCP12_folder_3,10.64.194.200,UK\bailel19
H:\Shares\BG_SSS_PROD_04\Siclops_data\Siclops Data\Gasforce\AutoGeneratedCP12_folder_3,10.64.194.201,UK\mooneyc9
H:\Shares\BG_MeterEx_PROD_01\G4S_FTP_Data\In,10.17.228.29,UK\s8403498
H:\Shares\BG_SSS_PROD_04\Siclops_Data,10.106.115.74,UK\yousafa4
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\Solihul4_Common\dr_sap,10.105.20.8,UK\s8404169
H:\Shares\BG_TAMIFTP_PROD_01\ftp,10.210.114.26,UK\poolel
K:\Shares\BUSOB_PROD_01\,10.109.49.29,UK\zz_boxi
H:\Shares\BG_SSS_PROD_04\Siclops_data\Siclops Data\Gasforce\AutoGeneratedCP12_folder_3\2555709.pdf,10.65.156.182,UK\zz_siclopsAPI
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\ELECTRICITY\BGB,10.176.96.178,UK\cankd
H:\Shares\BG_AUTOCEF_PROD_02\ExternalSQLConfigPath,10.65.144.100,UK\zz_autocef-proxy
H:\Shares\BG_MeterEx_PROD_01\G4S_FTP_Data\In,10.176.120.246,UK\agcu9611
H:\Shares\BG_BGBPLINE_PROD_01\Genpact\SAP Remittances,10.212.65.10,UK\baskarj2
H:\Shares\BG_AUTOCEF_PROD_02\Tami\ftp\MDP,10.212.161.78,UK\pailwanv
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\v_bgb_01\AQR\Nexus,10.176.128.170,UK\griffithsed
H:\Shares\BG_SSS_PROD_04\Siclops_Data\Siclops Data,10.64.194.197,UK\woodgerj
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\CGI_Logica\IN\Other Files,10.176.21.196,UK\furberd
H:\Shares\BG_TAMIFTP_PROD_01\ftp,10.212.97.41,UK\nairv5
H:\Shares\BG_NA23_PROD_02\MSoP\MSoPDatabase\BackUp\MSOPNOOO.mdb,10.212.161.12,UK\thoratv
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\Solihul4_Common\dr_sap,10.17.228.49,UK\s8003743
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\GAS\OUT\2019\09\G0806,10.210.114.97,UK\s8117068
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\ELECTRICITY\BGR\IN\2019\10,10.123.88.108,UK\s8401694
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\GAS\OUT\2019\10,10.105.20.4,UK\s8038920
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\GAS\IN\2019\09\LPA,10.105.20.67,UK\s8404169
H:\Shares\BG_NA23_PROD_02\BG_File_ Archive 2\Business Improvement Team\MSOP Process Documentation\Letters\Compensation\2019,10.212.97.120,UK\sutars1
H:\Shares\BG_MeterEx_PROD_01\G4S_FTP_Data,10.19.84.32,UK\brazerl
H:\Shares\BG_SSS_PROD_04\Siclops_Data\Siclops Data\Gasforce\Refund Calculator,10.106.116.65,UK\houghtl3
